invoice_id,customer_id,invoice_number,invoice_date,due_date,currency,amount_cents,balance_cents,status
118,9,INV-009-00118,2025-09-13,2025-10-13,USD,2586300,616601,partially_paid
119,9,INV-009-00119,2025-08-15,2025-09-14,USD,4930400,3721667,open
120,9,INV-009-00120,2025-10-09,2025-11-08,USD,2002300,1819889,partially_paid
121,9,INV-009-00121,2025-08-19,2025-09-18,USD,2258100,2201794,open
122,9,INV-009-00122,2025-09-08,2025-10-08,USD,3840800,3394827,partially_paid
123,9,INV-009-00123,2025-10-31,2025-11-30,USD,1334400,754373,open
124,9,INV-009-00124,2025-11-06,2025-12-06,USD,2706400,1609487,disputed
125,9,INV-009-00125,2025-11-07,2025-12-07,USD,3919800,3616465,disputed
126,9,INV-009-00126,2025-08-31,2025-09-30,USD,3806200,2468868,open
127,9,INV-009-00127,2025-10-21,2025-11-20,USD,3743500,3471397,open
128,10,INV-010-00128,2025-11-17,2025-12-17,USD,1731700,331543,open
129,10,INV-010-00129,2025-09-27,2025-10-27,USD,254500,130676,open
130,10,INV-010-00130,2025-09-20,2025-10-20,USD,1043600,171679,open
131,10,INV-010-00131,2025-08-10,2025-09-09,USD,1467600,578305,open
132,10,INV-010-00132,2025-11-06,2025-12-06,USD,1715200,690142,disputed
133,11,INV-011-00133,2025-10-06,2025-11-05,USD,4297000,1990451,open
134,11,INV-011-00134,2025-07-29,2025-08-28,USD,3833200,2954898,disputed
135,11,INV-011-00135,2025-07-24,2025-08-23,USD,1787600,1255338,partially_paid
136,11,INV-011-00136,2025-08-25,2025-09-24,USD,2657800,2151222,partially_paid
137,11,INV-011-00137,2025-11-07,2025-12-07,USD,1976400,1481501,disputed
138,11,INV-011-00138,2025-10-27,2025-11-26,USD,2526500,1554945,open
139,11,INV-011-00139,2025-08-25,2025-09-24,USD,4205900,2417139,open
140,11,INV-011-00140,2025-09-22,2025-10-22,USD,1190300,870742,open
141,11,INV-011-00141,2025-08-15,2025-09-14,USD,818300,780697,partially_paid
142,11,INV-011-00142,2025-08-16,2025-09-15,USD,3329000,2235759,partially_paid
143,11,INV-011-00143,2025-09-19,2025-10-19,USD,573800,477386,open
144,11,INV-011-00144,2025-10-29,2025-11-28,USD,1471300,865062,partially_paid
145,11,INV-011-00145,2025-09-04,2025-10-04,USD,2858800,2088705,partially_paid
146,11,INV-011-00146,2025-08-09,2025-09-08,USD,3396600,2454353,open
147,11,INV-011-00147,2025-08-15,2025-09-14,USD,343500,191195,partially_paid
148,11,INV-011-00148,2025-07-30,2025-08-29,USD,949100,249107,open
149,11,INV-011-00149,2025-08-23,2025-09-22,USD,1338300,1080488,open
150,11,INV-011-00150,2025-11-15,2025-12-15,USD,3359800,1184051,open
151,11,INV-011-00151,2025-10-23,2025-11-22,USD,1628800,685291,partially_paid
152,12,INV-012-00152,2025-10-30,2025-11-29,USD,1372200,662137,partially_paid
153,12,INV-012-00153,2025-11-15,2025-12-15,USD,3645000,1588293,open
154,12,INV-012-00154,2025-10-27,2025-11-26,USD,1917500,771739,open
155,12,INV-012-00155,2025-11-04,2025-12-04,USD,3844400,2375800,partially_paid
156,12,INV-012-00156,2025-09-18,2025-10-18,USD,4082700,1997846,open
157,12,INV-012-00157,2025-08-05,2025-09-04,USD,3653100,3416213,open
158,12,INV-012-00158,2025-11-19,2025-12-19,USD,1896700,666960,open
159,12,INV-012-00159,2025-08-03,2025-09-02,USD,4312500,1111182,open
160,13,INV-013-00160,2025-10-01,2025-10-31,USD,4816700,3489404,open
161,13,INV-013-00161,2025-10-12,2025-11-11,USD,2443100,1134605,open
162,13,INV-013-00162,2025-08-10,2025-09-09,USD,4520100,2511528,disputed
163,13,INV-013-00163,2025-09-21,2025-10-21,USD,4085000,2966584,open
164,13,INV-013-00164,2025-09-06,2025-10-06,USD,3867900,2212802,open
165,13,INV-013-00165,2025-08-29,2025-09-28,USD,3497500,1511458,partially_paid
166,13,INV-013-00166,2025-08-07,2025-09-06,USD,3887700,2798908,disputed
167,13,INV-013-00167,2025-08-13,2025-09-12,USD,678000,297309,partially_paid
168,13,INV-013-00168,2025-11-03,2025-12-03,USD,1808200,1193908,open
169,13,INV-013-00169,2025-09-19,2025-10-19,USD,4828600,1759393,partially_paid
170,14,INV-014-00170,2025-10-15,2025-11-14,USD,1480300,880507,partially_paid
171,14,INV-014-00171,2025-08-08,2025-09-07,USD,856300,519192,partially_paid
172,14,INV-014-00172,2025-10-13,2025-11-12,USD,1420100,987912,open
173,14,INV-014-00173,2025-10-26,2025-11-25,USD,2197500,284185,partially_paid
174,14,INV-014-00174,2025-10-15,2025-11-14,USD,4696500,4406424,partially_paid
175,14,INV-014-00175,2025-08-24,2025-09-23,USD,3792300,3397165,open
176,14,INV-014-00176,2025-08-12,2025-09-11,USD,4500600,2518969,open
177,14,INV-014-00177,2025-11-11,2025-12-11,USD,4673800,4412242,open
178,15,INV-015-00178,2025-11-01,2025-12-01,USD,4066300,2038767,open
179,15,INV-015-00179,2025-10-15,2025-11-14,USD,811600,325610,disputed
180,15,INV-015-00180,2025-11-15,2025-12-15,USD,261900,199858,open
181,15,INV-015-00181,2025-10-26,2025-11-25,USD,2942000,2710811,open
182,15,INV-015-00182,2025-10-01,2025-10-31,USD,3599700,3328291,open
183,15,INV-015-00183,2025-08-24,2025-09-23,USD,2585700,1793530,open
184,15,INV-015-00184,2025-10-14,2025-11-13,USD,1411500,1195880,open
185,15,INV-015-00185,2025-08-11,2025-09-10,USD,3938000,2629174,disputed
186,15,INV-015-00186,2025-07-31,2025-08-30,USD,3125900,1764299,disputed
187,16,INV-016-00187,2025-09-29,2025-10-29,USD,4428700,3703154,open
188,16,INV-016-00188,2025-09-09,2025-10-09,USD,984800,614281,partially_paid
189,16,INV-016-00189,2025-11-17,2025-12-17,USD,2821300,1260859,disputed
190,16,INV-016-00190,2025-11-20,2025-12-20,USD,336700,74799,partially_paid
191,16,INV-016-00191,2025-11-06,2025-12-06,USD,1110800,120222,open
192,16,INV-016-00192,2025-08-11,2025-09-10,USD,4629800,2323023,open
193,16,INV-016-00193,2025-10-26,2025-11-25,USD,847100,845546,open
194,16,INV-016-00194,2025-08-15,2025-09-14,USD,1355600,472518,partially_paid
195,16,INV-016-00195,2025-08-05,2025-09-04,USD,1517800,628588,open
196,16,INV-016-00196,2025-11-06,2025-12-06,USD,1090600,920062,open
197,16,INV-016-00197,2025-09-14,2025-10-14,USD,915100,400271,open
198,16,INV-016-00198,2025-09-05,2025-10-05,USD,2517100,1039987,partially_paid
199,16,INV-016-00199,2025-10-21,2025-11-20,USD,565400,303723,open
200,16,INV-016-00200,2025-07-26,2025-08-25,USD,3656600,2253361,open
201,16,INV-016-00201,2025-10-30,2025-11-29,USD,2566900,2550474,open
202,16,INV-016-00202,2025-10-10,2025-11-09,USD,829500,558059,partially_paid
203,16,INV-016-00203,2025-09-22,2025-10-22,USD,3391000,2776727,partially_paid
204,16,INV-016-00204,2025-10-05,2025-11-04,USD,2816000,2162594,open
205,17,INV-017-00205,2025-10-17,2025-11-16,USD,3575500,1073936,open
206,17,INV-017-00206,2025-10-27,2025-11-26,USD,3553700,2566792,open
207,17,INV-017-00207,2025-10-11,2025-11-10,USD,3449600,2149724,open
208,17,INV-017-00208,2025-10-20,2025-11-19,USD,2776600,2328747,open
209,17,INV-017-00209,2025-08-16,2025-09-15,USD,1210600,967811,partially_paid
210,17,INV-017-00210,2025-10-08,2025-11-07,USD,3837800,1478230,open
211,17,INV-017-00211,2025-09-24,2025-10-24,USD,4219400,3894531,disputed
212,17,INV-017-00212,2025-08-26,2025-09-25,USD,4887700,3080101,partially_paid
213,17,INV-017-00213,2025-10-05,2025-11-04,USD,2759200,837753,open
214,17,INV-017-00214,2025-11-05,2025-12-05,USD,4489100,4414922,open
215,17,INV-017-00215,2025-08-29,2025-09-28,USD,4332300,1223372,partially_paid
216,17,INV-017-00216,2025-10-20,2025-11-19,USD,1302300,1157696,open
217,17,INV-017-00217,2025-08-04,2025-09-03,USD,2079200,2015500,partially_paid
218,17,INV-017-00218,2025-09-27,2025-10-27,USD,2683700,2036447,open
219,17,INV-017-00219,2025-08-02,2025-09-01,USD,3532800,2179271,disputed
220,17,INV-017-00220,2025-11-15,2025-12-15,USD,3049500,1334262,open
221,17,INV-017-00221,2025-10-17,2025-11-16,USD,937300,623431,disputed
222,17,INV-017-00222,2025-10-16,2025-11-15,USD,1028600,222162,partially_paid
223,17,INV-017-00223,2025-10-11,2025-11-10,USD,2542900,1411374,open
224,18,INV-018-00224,2025-10-07,2025-11-06,USD,2556300,1868087,open
225,18,INV-018-00225,2025-09-22,2025-10-22,USD,3726200,3417178,open
226,18,INV-018-00226,2025-07-29,2025-08-28,USD,1582800,1132669,open
227,18,INV-018-00227,2025-08-14,2025-09-13,USD,744800,441227,partially_paid
228,18,INV-018-00228,2025-11-17,2025-12-17,USD,3640600,2387323,partially_paid
229,18,INV-018-00229,2025-10-14,2025-11-13,USD,1742200,1588467,partially_paid
230,18,INV-018-00230,2025-08-27,2025-09-26,USD,3631700,3227742,open
231,18,INV-018-00231,2025-10-31,2025-11-30,USD,3960500,2293134,open
232,19,INV-019-00232,2025-08-23,2025-09-22,USD,2681700,1469388,partially_paid
233,19,INV-019-00233,2025-10-31,2025-11-30,USD,3130000,2115093,open
234,19,INV-019-00234,2025-08-08,2025-09-07,USD,3038000,2794076,disputed
235,19,INV-019-00235,2025-11-04,2025-12-04,USD,519100,307885,partially_paid
236,19,INV-019-00236,2025-09-24,2025-10-24,USD,3067100,1888603,disputed
237,19,INV-019-00237,2025-09-10,2025-10-10,USD,2547200,1984997,partially_paid
238,19,INV-019-00238,2025-09-17,2025-10-17,USD,2461400,1871199,open
239,19,INV-019-00239,2025-11-16,2025-12-16,USD,1853100,640173,partially_paid
240,19,INV-019-00240,2025-11-14,2025-12-14,USD,3013800,2771935,open
241,20,INV-020-00241,2025-08-17,2025-09-16,USD,4127900,3065498,open
242,20,INV-020-00242,2025-10-02,2025-11-01,USD,2753800,2480560,partially_paid
243,20,INV-020-00243,2025-09-20,2025-10-20,USD,891000,372927,partially_paid
244,20,INV-020-00244,2025-09-29,2025-10-29,USD,4107100,2267077,open
245,20,INV-020-00245,2025-10-12,2025-11-11,USD,2595300,673443,partially_paid
246,20,INV-020-00246,2025-10-30,2025-11-29,USD,1427500,1374999,partially_paid
247,20,INV-020-00247,2025-08-14,2025-09-13,USD,3284100,2245596,open
248,20,INV-020-00248,2025-11-13,2025-12-13,USD,3506900,2410488,partially_paid
249,20,INV-020-00249,2025-08-06,2025-09-05,USD,4554100,1511553,open
250,20,INV-020-00250,2025-10-02,2025-11-01,USD,4663800,2376830,partially_paid
251,20,INV-020-00251,2025-08-16,2025-09-15,USD,1070600,1001795,partially_paid
252,20,INV-020-00252,2025-08-12,2025-09-11,USD,3180600,2247603,disputed
253,20,INV-020-00253,2025-11-17,2025-12-17,USD,2372700,818505,partially_paid
254,20,INV-020-00254,2025-08-22,2025-09-21,USD,2749800,1505831,partially_paid
255,20,INV-020-00255,2025-09-24,2025-10-24,USD,1280500,843001,open
256,20,INV-020-00256,2025-08-30,2025-09-29,USD,1908100,970197,partially_paid
257,20,INV-020-00257,2025-10-31,2025-11-30,USD,1653700,912623,partially_paid
258,20,INV-020-00258,2025-11-17,2025-12-17,USD,3806000,2982865,partially_paid
259,20,INV-020-00259,2025-10-28,2025-11-27,USD,216100,162907,partially_paid
260,21,INV-021-00260,2025-10-30,2025-11-29,USD,4409200,2860744,open
261,21,INV-021-00261,2025-07-31,2025-08-30,USD,1272000,608143,disputed
262,21,INV-021-00262,2025-07-26,2025-08-25,USD,1202800,1084656,partially_paid
263,21,INV-021-00263,2025-10-05,2025-11-04,USD,2050900,646995,open
264,21,INV-021-00264,2025-08-06,2025-09-05,USD,3027200,2913720,partially_paid
265,21,INV-021-00265,2025-11-02,2025-12-02,USD,1983300,786760,open
266,21,INV-021-00266,2025-10-31,2025-11-30,USD,2727900,2440764,partially_paid
267,22,INV-022-00267,2025-10-11,2025-11-10,USD,1549300,453542,open
268,22,INV-022-00268,2025-08-28,2025-09-27,USD,1726100,1260188,disputed
269,22,INV-022-00269,2025-11-05,2025-12-05,USD,3678200,2880596,disputed
270,22,INV-022-00270,2025-09-25,2025-10-25,USD,1789200,518476,open
271,22,INV-022-00271,2025-07-24,2025-08-23,USD,317100,262993,partially_paid
272,22,INV-022-00272,2025-11-07,2025-12-07,USD,743200,235746,open
273,22,INV-022-00273,2025-08-28,2025-09-27,USD,3105500,1289090,partially_paid
274,22,INV-022-00274,2025-10-19,2025-11-18,USD,1187900,498286,partially_paid
275,22,INV-022-00275,2025-11-04,2025-12-04,USD,363300,112880,disputed
276,22,INV-022-00276,2025-08-01,2025-08-31,USD,4813600,4102980,open
277,23,INV-023-00277,2025-07-29,2025-08-28,USD,3662200,3188299,partially_paid
278,23,INV-023-00278,2025-07-28,2025-08-27,USD,3293300,2536124,open
279,23,INV-023-00279,2025-08-08,2025-09-07,USD,882300,717913,partially_paid
280,23,INV-023-00280,2025-07-28,2025-08-27,USD,2065800,1825006,partially_paid
281,23,INV-023-00281,2025-10-01,2025-10-31,USD,3145000,611169,partially_paid
282,23,INV-023-00282,2025-08-28,2025-09-27,USD,923900,660312,open
283,23,INV-023-00283,2025-08-29,2025-09-28,USD,2190900,1729379,open
284,23,INV-023-00284,2025-10-12,2025-11-11,USD,862900,566431,partially_paid
285,23,INV-023-00285,2025-08-06,2025-09-05,USD,2718800,1750589,partially_paid
286,23,INV-023-00286,2025-10-06,2025-11-05,USD,4691800,3041119,partially_paid
287,23,INV-023-00287,2025-11-17,2025-12-17,USD,3569100,1536275,partially_paid
288,23,INV-023-00288,2025-08-16,2025-09-15,USD,2881900,1628010,partially_paid
289,23,INV-023-00289,2025-10-02,2025-11-01,USD,264500,125540,open
290,23,INV-023-00290,2025-08-28,2025-09-27,USD,1808700,1725685,partially_paid
291,23,INV-023-00291,2025-07-24,2025-08-23,USD,2781700,989748,open
292,23,INV-023-00292,2025-09-24,2025-10-24,USD,3586600,1580442,open
293,23,INV-023-00293,2025-11-06,2025-12-06,USD,3460200,1632729,partially_paid
294,23,INV-023-00294,2025-10-24,2025-11-23,USD,395800,348442,open
295,23,INV-023-00295,2025-10-31,2025-11-30,USD,837000,722993,open
296,23,INV-023-00296,2025-11-12,2025-12-12,USD,4689800,3704895,open
297,24,INV-024-00297,2025-08-22,2025-09-21,USD,1976100,1306381,open
298,24,INV-024-00298,2025-10-22,2025-11-21,USD,814200,476621,disputed
299,24,INV-024-00299,2025-08-26,2025-09-25,USD,2035100,1574235,partially_paid
300,24,INV-024-00300,2025-09-09,2025-10-09,USD,1300200,1044024,open
301,24,INV-024-00301,2025-09-29,2025-10-29,USD,1614000,346878,open
302,24,INV-024-00302,2025-08-08,2025-09-07,USD,3469800,1462844,disputed
303,24,INV-024-00303,2025-08-03,2025-09-02,USD,737400,531137,partially_paid
304,24,INV-024-00304,2025-09-18,2025-10-18,USD,3116500,2113090,partially_paid
305,24,INV-024-00305,2025-10-19,2025-11-18,USD,915600,624001,disputed
306,24,INV-024-00306,2025-09-17,2025-10-17,USD,4808700,873271,partially_paid
307,24,INV-024-00307,2025-08-08,2025-09-07,USD,4771400,4410938,partially_paid
308,24,INV-024-00308,2025-10-23,2025-11-22,USD,1446600,1096418,open
309,24,INV-024-00309,2025-08-27,2025-09-26,USD,4857100,3940146,partially_paid
310,24,INV-024-00310,2025-11-15,2025-12-15,USD,426100,190354,open
311,24,INV-024-00311,2025-08-07,2025-09-06,USD,2600000,2587163,open
312,25,INV-025-00312,2025-09-26,2025-10-26,USD,780800,556916,partially_paid
313,25,INV-025-00313,2025-09-20,2025-10-20,USD,3333700,2620073,partially_paid
314,25,INV-025-00314,2025-08-25,2025-09-24,USD,3763400,1640705,open
315,25,INV-025-00315,2025-11-10,2025-12-10,USD,1974000,1130742,disputed
316,25,INV-025-00316,2025-09-21,2025-10-21,USD,4409200,4063666,partially_paid
317,25,INV-025-00317,2025-11-13,2025-12-13,USD,1514600,1275503,disputed
318,25,INV-025-00318,2025-11-03,2025-12-03,USD,603300,380533,partially_paid
319,25,INV-025-00319,2025-10-12,2025-11-11,USD,1539500,242261,open
320,26,INV-026-00320,2025-08-08,2025-09-07,USD,3661000,3108549,partially_paid
321,26,INV-026-00321,2025-10-25,2025-11-24,USD,1377700,806572,open
322,26,INV-026-00322,2025-09-27,2025-10-27,USD,2636400,1154283,open
323,26,INV-026-00323,2025-10-31,2025-11-30,USD,1574900,1371586,disputed
324,26,INV-026-00324,2025-10-22,2025-11-21,USD,3802700,1968084,partially_paid
325,26,INV-026-00325,2025-10-29,2025-11-28,USD,1874300,1143585,open
326,26,INV-026-00326,2025-11-14,2025-12-14,USD,526700,389628,open
327,26,INV-026-00327,2025-08-02,2025-09-01,USD,4855800,3576333,partially_paid
328,26,INV-026-00328,2025-10-04,2025-11-03,USD,2803900,1951397,open
329,26,INV-026-00329,2025-07-24,2025-08-23,USD,2179900,1174801,open
330,26,INV-026-00330,2025-09-18,2025-10-18,USD,2783300,2448959,open
331,26,INV-026-00331,2025-10-15,2025-11-14,USD,831300,506198,open
332,26,INV-026-00332,2025-11-04,2025-12-04,USD,3857500,1535747,partially_paid
333,26,INV-026-00333,2025-08-27,2025-09-26,USD,2330000,589569,open
334,26,INV-026-00334,2025-07-31,2025-08-30,USD,234000,82119,open
335,26,INV-026-00335,2025-08-14,2025-09-13,USD,3977200,1785619,partially_paid
336,26,INV-026-00336,2025-10-28,2025-11-27,USD,4167300,1239691,partially_paid
337,27,INV-027-00337,2025-11-02,2025-12-02,USD,1223800,980392,partially_paid
338,27,INV-027-00338,2025-08-21,2025-09-20,USD,968400,836819,open
339,27,INV-027-00339,2025-11-02,2025-12-02,USD,3952900,2798713,open
340,27,INV-027-00340,2025-08-11,2025-09-10,USD,3006400,2960802,open
341,27,INV-027-00341,2025-09-01,2025-10-01,USD,3238600,2548719,partially_paid
342,27,INV-027-00342,2025-11-14,2025-12-14,USD,3513200,2159050,partially_paid
343,27,INV-027-00343,2025-08-16,2025-09-15,USD,3870300,2504899,disputed
344,27,INV-027-00344,2025-09-21,2025-10-21,USD,2891000,1722146,disputed
345,27,INV-027-00345,2025-11-11,2025-12-11,USD,2431300,1398683,partially_paid
