dispute_id,invoice_id,customer_id,opened_date,amount_cents,reason,status,resolution_note,resolved_date
61,583,47,2025-09-05,431666,quantity short,resolved,Synthetic,2025-10-03
62,488,40,2025-10-20,2431957,pricing error,open,Synthetic,
63,339,27,2026-01-06,1076164,damaged goods,in_review,Synthetic,
64,42,4,2025-10-25,1358209,quantity short,open,Synthetic,
65,245,20,2025-10-28,233946,damaged goods,in_review,Synthetic,
66,484,40,2025-10-26,352288,damaged goods,rejected,Synthetic,2025-11-06
67,57,5,2025-10-25,567554,PO mismatch,resolved,Synthetic,2025-11-22
68,408,34,2025-10-30,1988600,pricing error,in_review,Synthetic,
69,538,44,2025-11-25,690179,damaged goods,open,Synthetic,
70,500,41,2025-10-16,572170,pricing error,open,Synthetic,
71,156,12,2025-10-27,622042,quantity short,open,Synthetic,
72,25,2,2025-10-09,530694,pricing error,resolved,Synthetic,2025-10-23
73,83,7,2025-12-12,776216,quantity short,open,Synthetic,
74,362,29,2025-12-02,351484,damaged goods,in_review,Synthetic,
75,216,17,2025-11-11,891856,damaged goods,in_review,Synthetic,
76,504,41,2025-10-31,619537,damaged goods,in_review,Synthetic,
77,481,40,2025-12-16,934478,pricing error,open,Synthetic,
78,71,6,2025-12-26,809852,PO mismatch,open,Synthetic,
79,361,29,2025-10-01,740622,pricing error,in_review,Synthetic,
80,410,34,2025-10-10,370675,PO mismatch,in_review,Synthetic,
81,279,23,2025-10-08,541251,PO mismatch,open,Synthetic,
82,61,5,2025-12-15,166759,pricing error,resolved,Synthetic,2025-12-23
83,594,48,2025-10-19,1013975,PO mismatch,in_review,Synthetic,
84,409,34,2025-10-18,2811630,PO mismatch,open,Synthetic,
85,211,17,2025-10-24,1650183,PO mismatch,open,Synthetic,
86,598,48,2025-10-24,2455939,quantity short,in_review,Synthetic,
87,166,13,2025-10-01,1198325,pricing error,open,Synthetic,
88,439,37,2025-10-19,504558,quantity short,in_review,Synthetic,
89,558,45,2026-01-16,1785953,quantity short,resolved,Synthetic,2026-02-13
90,257,20,2025-11-19,565905,pricing error,open,Synthetic,
91,421,35,2025-11-18,1921019,PO mismatch,resolved,Synthetic,2025-12-11
92,370,29,2025-12-04,825460,pricing error,resolved,Synthetic,2025-12-11
93,30,3,2025-09-02,1620685,PO mismatch,rejected,Synthetic,2025-09-19
94,193,16,2025-11-05,435471,pricing error,open,Synthetic,
