payment_id,invoice_id,customer_id,payment_date,amount_cents,method,reference_number,applied
67,33.0,4,2025-12-14,133565,Check,REF-000067,True
68,34.0,4,2025-10-08,100543,Wire,REF-000068,True
69,34.0,4,2025-10-17,97443,Check,REF-000069,True
70,34.0,4,2025-11-21,192830,Card,REF-000070,True
71,35.0,4,2025-10-09,11176,ACH,REF-000071,True
72,35.0,4,2025-10-30,23026,ACH,REF-000072,True
73,36.0,4,2025-10-11,382234,Check,REF-000073,True
74,37.0,4,2025-10-28,30018,Wire,REF-000074,True
75,37.0,4,2025-10-27,29324,Wire,REF-000075,True
76,38.0,4,2025-12-15,382402,Check,REF-000076,True
77,38.0,4,2025-12-14,129678,Check,REF-000077,True
78,38.0,4,2025-12-16,194331,Check,REF-000078,True
79,39.0,4,2025-09-06,73228,Check,REF-000079,True
80,39.0,4,2025-10-09,41682,Wire,REF-000080,True
81,39.0,4,2025-09-29,112212,Wire,REF-000081,True
82,40.0,4,2025-11-13,388537,Card,REF-000082,True
83,41.0,4,2025-12-29,228263,Card,REF-000083,True
84,41.0,4,2026-01-06,71870,Check,REF-000084,True
85,41.0,4,2025-11-17,155729,ACH,REF-000085,True
86,42.0,4,2025-09-24,783324,Check,REF-000086,True
87,43.0,4,2025-09-28,390837,Wire,REF-000087,True
88,43.0,4,2025-10-02,907947,Check,REF-000088,True
89,44.0,4,2025-09-17,577792,Check,REF-000089,True
90,45.0,4,2025-11-06,948088,ACH,REF-000090,True
91,46.0,4,2025-12-25,3118482,Check,REF-000091,True
92,47.0,4,2025-09-27,112120,Check,REF-000092,True
93,48.0,4,2025-10-14,3353919,ACH,REF-000093,True
94,49.0,4,2025-12-28,453100,Check,REF-000094,True
95,49.0,4,2025-12-29,258950,Card,REF-000095,True
96,49.0,4,2025-12-27,224581,Check,REF-000096,True
97,50.0,4,2025-08-27,732834,Card,REF-000097,True
98,50.0,4,2025-09-22,145908,Wire,REF-000098,True
99,50.0,4,2025-08-30,449550,Check,REF-000099,True
100,51.0,4,2025-11-22,317646,Check,REF-000100,True
101,51.0,4,2025-11-17,384257,Wire,REF-000101,True
102,52.0,4,2025-10-05,1595994,Card,REF-000102,True
103,52.0,4,2025-08-18,795784,ACH,REF-000103,True
104,52.0,4,2025-09-08,534538,Wire,REF-000104,True
105,53.0,5,2025-10-04,252666,Card,REF-000105,True
106,53.0,5,2025-10-11,195196,Wire,REF-000106,True
107,53.0,5,2025-09-11,289039,Check,REF-000107,True
108,54.0,5,2025-11-16,295892,Wire,REF-000108,True
109,54.0,5,2025-11-21,463582,ACH,REF-000109,True
110,55.0,5,2025-10-22,231282,Wire,REF-000110,True
111,55.0,5,2025-11-18,599817,ACH,REF-000111,True
112,56.0,5,2025-08-20,520831,ACH,REF-000112,True
113,56.0,5,2025-09-24,1863652,Wire,REF-000113,True
114,57.0,5,2025-09-27,342979,Card,REF-000114,True
115,57.0,5,2025-09-23,439329,Check,REF-000115,True
116,58.0,5,2025-12-02,353412,Card,REF-000116,True
117,59.0,5,2025-12-20,1010686,ACH,REF-000117,True
118,60.0,5,2025-12-16,201280,Wire,REF-000118,True
119,60.0,5,2025-11-04,804666,Wire,REF-000119,True
120,61.0,5,2025-11-27,1048450,Check,REF-000120,True
121,61.0,5,2025-11-10,596489,Card,REF-000121,True
122,61.0,5,2025-11-13,447195,Card,REF-000122,True
123,62.0,5,2025-11-20,680192,Check,REF-000123,True
124,63.0,5,2025-12-01,130379,Wire,REF-000124,True
125,63.0,5,2026-01-02,39152,Wire,REF-000125,True
126,63.0,5,2026-01-04,121149,Card,REF-000126,True
127,64.0,5,2025-12-24,287520,ACH,REF-000127,True
128,64.0,5,2025-11-11,1010350,Card,REF-000128,True
129,65.0,5,2025-11-20,154495,Check,REF-000129,True
130,65.0,5,2025-12-08,251132,Wire,REF-000130,True
131,66.0,5,2025-10-18,3088231,Check,REF-000131,True
132,67.0,6,2025-11-27,65000,Card,REF-000132,True
133,67.0,6,2025-10-18,253686,Wire,REF-000133,True
134,68.0,6,2025-12-22,413325,Card,REF-000134,True
135,68.0,6,2025-12-09,244898,Wire,REF-000135,True
136,68.0,6,2025-11-16,165417,ACH,REF-000136,True
137,69.0,6,2025-12-25,570217,Card,REF-000137,True
138,69.0,6,2025-12-20,1115660,Check,REF-000138,True
139,70.0,6,2025-12-05,23014,Card,REF-000139,True
140,70.0,6,2026-01-19,20016,Wire,REF-000140,True
141,70.0,6,2025-12-09,67985,Card,REF-000141,True
142,71.0,6,2025-12-18,7407,ACH,REF-000142,True
143,71.0,6,2025-12-17,6213,Wire,REF-000143,True
144,71.0,6,2025-11-07,13417,Check,REF-000144,True
145,72.0,6,2025-11-07,219050,Wire,REF-000145,True
146,72.0,6,2025-12-01,332460,Check,REF-000146,True
147,73.0,6,2025-10-11,20874,Wire,REF-000147,True
148,73.0,6,2025-10-08,72276,Check,REF-000148,True
149,74.0,6,2025-10-20,1098399,Wire,REF-000149,True
150,75.0,6,2025-10-18,1666,ACH,REF-000150,True
151,75.0,6,2025-11-03,457,Wire,REF-000151,True
152,75.0,6,2025-09-30,1549,Card,REF-000152,True
153,76.0,6,2025-10-25,1789528,ACH,REF-000153,True
154,77.0,6,2025-11-08,75096,ACH,REF-000154,True
155,77.0,6,2025-12-18,29945,Wire,REF-000155,True
156,77.0,6,2025-11-27,87213,Wire,REF-000156,True
157,78.0,6,2025-09-30,85895,Check,REF-000157,True
158,79.0,6,2025-11-21,1208377,Check,REF-000158,True
159,80.0,6,2025-11-10,300100,Wire,REF-000159,True
160,80.0,6,2025-10-23,449050,Check,REF-000160,True
161,80.0,6,2025-10-26,323834,Wire,REF-000161,True
162,81.0,6,2025-10-28,565887,Wire,REF-000162,True
163,81.0,6,2025-11-07,1471809,Card,REF-000163,True
164,82.0,7,2025-10-22,769216,Wire,REF-000164,True
165,83.0,7,2025-11-01,85758,Wire,REF-000165,True
166,83.0,7,2025-11-06,43485,Check,REF-000166,True
167,83.0,7,2025-11-09,75520,ACH,REF-000167,True
168,84.0,7,2025-09-16,641349,Wire,REF-000168,True
169,84.0,7,2025-09-25,723936,ACH,REF-000169,True
170,84.0,7,2025-10-14,741869,Card,REF-000170,True
171,85.0,7,2025-12-03,1571154,Wire,REF-000171,True
172,85.0,7,2025-11-10,577117,Check,REF-000172,True
173,85.0,7,2025-11-01,564771,Wire,REF-000173,True
174,86.0,7,2025-11-12,715091,Wire,REF-000174,True
175,86.0,7,2025-11-24,330789,Check,REF-000175,True
176,86.0,7,2025-10-17,539451,Wire,REF-000176,True
177,87.0,7,2025-08-23,1012258,ACH,REF-000177,True
178,87.0,7,2025-08-30,307900,Card,REF-000178,True
179,87.0,7,2025-08-22,614191,Check,REF-000179,True
180,88.0,7,2025-11-24,546232,Card,REF-000180,True
181,88.0,7,2025-11-15,1559501,Wire,REF-000181,True
182,89.0,7,2026-01-25,610087,Check,REF-000182,True
183,90.0,7,2025-11-07,39417,Card,REF-000183,True
184,90.0,7,2025-10-23,53165,Card,REF-000184,True
185,91.0,7,2025-12-10,358456,ACH,REF-000185,True
186,91.0,7,2026-01-10,97917,Wire,REF-000186,True
187,91.0,7,2026-01-09,255239,Wire,REF-000187,True
188,92.0,7,2025-08-30,174666,Check,REF-000188,True
189,92.0,7,2025-10-16,151434,Wire,REF-000189,True
190,92.0,7,2025-10-19,389909,Wire,REF-000190,True
191,93.0,7,2025-12-11,839671,ACH,REF-000191,True
192,94.0,7,2025-12-15,614892,ACH,REF-000192,True
193,94.0,7,2025-11-21,837890,Card,REF-000193,True
194,94.0,7,2025-12-31,1165692,Wire,REF-000194,True
195,95.0,7,2025-12-05,3752925,Card,REF-000195,True
196,96.0,7,2025-11-08,946595,ACH,REF-000196,True
197,97.0,7,2025-11-13,354775,Wire,REF-000197,True
198,97.0,7,2025-10-25,250300,Wire,REF-000198,True
199,98.0,7,2025-09-22,1377043,Wire,REF-000199,True
200,98.0,7,2025-10-20,1486047,Wire,REF-000200,True
201,98.0,7,2025-09-22,1537153,ACH,REF-000201,True
202,99.0,7,2025-09-19,272533,Wire,REF-000202,True
203,99.0,7,2025-10-05,268284,Card,REF-000203,True
204,100.0,8,2025-11-05,722081,ACH,REF-000204,True
205,100.0,8,2025-11-11,177209,Card,REF-000205,True
206,100.0,8,2025-11-15,407980,Wire,REF-000206,True
207,101.0,8,2025-11-04,20197,Wire,REF-000207,True
208,101.0,8,2025-11-27,34464,Wire,REF-000208,True
209,102.0,8,2025-11-20,358231,Wire,REF-000209,True
210,103.0,8,2025-10-11,1093504,Check,REF-000210,True
211,104.0,8,2025-10-01,1280833,Card,REF-000211,True
212,105.0,8,2025-12-17,681819,Check,REF-000212,True
213,106.0,8,2025-12-13,459289,Wire,REF-000213,True
214,106.0,8,2025-12-10,266046,Card,REF-000214,True
215,106.0,8,2025-10-26,504428,Wire,REF-000215,True
216,107.0,8,2025-11-30,609861,ACH,REF-000216,True
217,107.0,8,2025-12-30,849702,Wire,REF-000217,True
218,108.0,8,2025-12-24,988324,ACH,REF-000218,True
219,109.0,8,2025-11-03,678,Wire,REF-000219,True
220,109.0,8,2025-11-16,2336,Check,REF-000220,True
221,110.0,8,2025-12-14,454809,Wire,REF-000221,True
222,110.0,8,2025-12-04,547200,Wire,REF-000222,True
223,111.0,8,2025-09-16,2252615,Card,REF-000223,True
224,112.0,8,2025-09-05,337242,Check,REF-000224,True
225,112.0,8,2025-09-09,469186,ACH,REF-000225,True
226,112.0,8,2025-08-22,584549,Wire,REF-000226,True
227,113.0,8,2025-10-27,784535,Wire,REF-000227,True
228,114.0,8,2025-08-26,587363,ACH,REF-000228,True
229,114.0,8,2025-08-28,963675,Card,REF-000229,True
230,115.0,8,2025-08-31,112604,ACH,REF-000230,True
231,115.0,8,2025-09-25,426602,Card,REF-000231,True
232,116.0,8,2025-10-08,232111,Wire,REF-000232,True
233,116.0,8,2025-08-13,656326,Check,REF-000233,True
234,117.0,8,2025-11-05,442487,Check,REF-000234,True
235,117.0,8,2025-11-23,373578,Card,REF-000235,True
236,118.0,9,2025-09-23,1969699,ACH,REF-000236,True
237,119.0,9,2025-10-10,294038,Check,REF-000237,True
238,119.0,9,2025-10-09,914695,Card,REF-000238,True
239,120.0,9,2025-11-01,77013,Wire,REF-000239,True
240,120.0,9,2025-12-05,29806,Check,REF-000240,True
241,120.0,9,2025-11-30,75592,Check,REF-000241,True
242,121.0,9,2025-09-07,26585,Card,REF-000242,True
243,121.0,9,2025-09-15,15783,ACH,REF-000243,True
244,121.0,9,2025-09-29,13938,ACH,REF-000244,True
245,122.0,9,2025-09-29,114266,Wire,REF-000245,True
246,122.0,9,2025-10-03,71847,ACH,REF-000246,True
247,122.0,9,2025-09-23,259860,Wire,REF-000247,True
248,123.0,9,2025-12-09,270739,Check,REF-000248,True
249,123.0,9,2025-11-18,309288,Check,REF-000249,True
250,124.0,9,2025-12-18,524847,Card,REF-000250,True
251,124.0,9,2025-12-14,572066,ACH,REF-000251,True
252,125.0,9,2025-11-28,148765,Check,REF-000252,True
253,125.0,9,2026-01-12,154570,Check,REF-000253,True
254,126.0,9,2025-09-08,525450,Wire,REF-000254,True
255,126.0,9,2025-09-08,216368,Wire,REF-000255,True
256,126.0,9,2025-09-23,595514,Wire,REF-000256,True
257,127.0,9,2025-10-31,272103,Card,REF-000257,True
258,128.0,10,2026-01-11,1400157,Check,REF-000258,True
259,129.0,10,2025-10-13,25991,ACH,REF-000259,True
260,129.0,10,2025-10-12,35528,Card,REF-000260,True
261,129.0,10,2025-11-23,62305,Card,REF-000261,True
262,130.0,10,2025-10-02,457984,Card,REF-000262,True
263,130.0,10,2025-10-08,413937,Card,REF-000263,True
264,131.0,10,2025-09-04,444631,Card,REF-000264,True
265,131.0,10,2025-10-03,444664,Wire,REF-000265,True
266,132.0,10,2025-11-17,571328,ACH,REF-000266,True
267,132.0,10,2025-12-18,150254,Wire,REF-000267,True
268,132.0,10,2026-01-10,303476,Card,REF-000268,True
269,133.0,11,2025-12-11,771608,Wire,REF-000269,True
270,133.0,11,2025-10-16,1534941,ACH,REF-000270,True
271,134.0,11,2025-08-26,435870,Check,REF-000271,True
272,134.0,11,2025-08-23,103600,Card,REF-000272,True
273,134.0,11,2025-09-28,338832,Wire,REF-000273,True
274,135.0,11,2025-09-25,209391,Wire,REF-000274,True
275,135.0,11,2025-09-23,74246,Card,REF-000275,True
276,135.0,11,2025-09-14,248625,Wire,REF-000276,True
277,136.0,11,2025-10-20,153058,Wire,REF-000277,True
278,136.0,11,2025-09-24,79463,ACH,REF-000278,True
279,136.0,11,2025-09-21,274057,Wire,REF-000279,True
280,137.0,11,2026-01-02,494899,Card,REF-000280,True
281,138.0,11,2025-12-01,343107,Card,REF-000281,True
282,138.0,11,2025-12-03,628448,ACH,REF-000282,True
283,139.0,11,2025-10-01,545506,ACH,REF-000283,True
284,139.0,11,2025-10-03,1243255,Check,REF-000284,True
285,140.0,11,2025-10-14,108163,Wire,REF-000285,True
286,140.0,11,2025-10-26,211395,Card,REF-000286,True
287,141.0,11,2025-08-29,37603,Check,REF-000287,True
288,142.0,11,2025-08-31,1093241,Wire,REF-000288,True
289,143.0,11,2025-10-26,41058,Check,REF-000289,True
290,143.0,11,2025-10-06,55356,Card,REF-000290,True
291,144.0,11,2025-12-14,606238,Check,REF-000291,True
292,145.0,11,2025-09-27,294376,Wire,REF-000292,True
293,145.0,11,2025-10-01,475719,Check,REF-000293,True
294,146.0,11,2025-08-25,252431,Card,REF-000294,True
295,146.0,11,2025-09-16,689816,ACH,REF-000295,True
296,147.0,11,2025-08-27,152305,Wire,REF-000296,True
297,148.0,11,2025-08-08,699993,Wire,REF-000297,True
298,149.0,11,2025-09-25,58149,Check,REF-000298,True
299,149.0,11,2025-10-24,199663,Wire,REF-000299,True
300,150.0,11,2025-12-17,521813,Wire,REF-000300,True
301,150.0,11,2025-11-21,580191,Check,REF-000301,True
302,150.0,11,2025-11-26,1073745,Wire,REF-000302,True
303,151.0,11,2025-11-12,405959,Check,REF-000303,True
304,151.0,11,2025-12-06,537550,Wire,REF-000304,True
305,152.0,12,2025-12-05,710063,Check,REF-000305,True
306,153.0,12,2025-12-02,2056707,ACH,REF-000306,True
307,154.0,12,2025-12-11,641281,ACH,REF-000307,True
308,154.0,12,2025-11-15,164705,Wire,REF-000308,True
309,154.0,12,2025-11-07,339775,Card,REF-000309,True
310,155.0,12,2026-01-12,470519,Card,REF-000310,True
311,155.0,12,2025-12-04,289758,ACH,REF-000311,True
312,155.0,12,2025-12-15,708323,Check,REF-000312,True
313,156.0,12,2025-11-01,2084854,ACH,REF-000313,True
314,157.0,12,2025-10-09,137593,Check,REF-000314,True
315,157.0,12,2025-09-09,36758,ACH,REF-000315,True
316,157.0,12,2025-09-03,62536,Card,REF-000316,True
317,158.0,12,2025-12-02,647657,Card,REF-000317,True
318,158.0,12,2026-01-16,582083,Card,REF-000318,True
319,159.0,12,2025-10-04,1435709,Wire,REF-000319,True
320,159.0,12,2025-09-18,1765609,Wire,REF-000320,True
321,160.0,13,2025-11-07,1327296,Check,REF-000321,True
322,161.0,13,2025-12-06,1308495,Wire,REF-000322,True
323,162.0,13,2025-09-21,1042849,Check,REF-000323,True
324,162.0,13,2025-10-07,217787,Check,REF-000324,True
325,162.0,13,2025-08-24,747936,Card,REF-000325,True
326,163.0,13,2025-10-13,663420,Card,REF-000326,True
327,163.0,13,2025-10-31,454996,ACH,REF-000327,True
328,164.0,13,2025-10-16,580741,ACH,REF-000328,True
329,164.0,13,2025-11-10,401607,ACH,REF-000329,True
330,164.0,13,2025-09-28,672750,Check,REF-000330,True
331,165.0,13,2025-09-06,828237,ACH,REF-000331,True
332,165.0,13,2025-10-17,513237,Wire,REF-000332,True
333,165.0,13,2025-09-30,644568,Wire,REF-000333,True
334,166.0,13,2025-08-12,1088792,Check,REF-000334,True
335,167.0,13,2025-09-21,94143,Wire,REF-000335,True
336,167.0,13,2025-09-28,286548,Wire,REF-000336,True
337,168.0,13,2026-01-08,126952,Wire,REF-000337,True
338,168.0,13,2025-11-11,252570,ACH,REF-000338,True
339,168.0,13,2026-01-05,234770,ACH,REF-000339,True
340,169.0,13,2025-11-11,928635,Card,REF-000340,True
341,169.0,13,2025-10-24,540330,Check,REF-000341,True
342,169.0,13,2025-11-02,1600242,Card,REF-000342,True
343,170.0,14,2025-12-13,243393,Card,REF-000343,True
344,170.0,14,2025-12-15,137838,Check,REF-000344,True
345,170.0,14,2025-11-03,218562,Check,REF-000345,True
346,171.0,14,2025-09-17,119477,Check,REF-000346,True
347,171.0,14,2025-09-30,217631,Card,REF-000347,True
348,172.0,14,2025-11-30,91695,Check,REF-000348,True
349,172.0,14,2025-12-09,98159,Card,REF-000349,True
350,172.0,14,2025-11-09,242334,Card,REF-000350,True
351,173.0,14,2025-11-20,1913315,Check,REF-000351,True
352,174.0,14,2025-11-25,290076,ACH,REF-000352,True
353,175.0,14,2025-09-15,127218,Wire,REF-000353,True
354,175.0,14,2025-10-19,67415,Check,REF-000354,True
355,175.0,14,2025-10-11,200502,Check,REF-000355,True
356,176.0,14,2025-09-29,1981631,ACH,REF-000356,True
357,177.0,14,2026-01-09,150649,Wire,REF-000357,True
358,177.0,14,2025-12-26,42444,ACH,REF-000358,True
359,177.0,14,2025-11-25,68465,Wire,REF-000359,True
360,178.0,15,2025-12-26,690889,ACH,REF-000360,True
361,178.0,15,2025-11-13,1336644,ACH,REF-000361,True
362,179.0,15,2025-11-18,485990,ACH,REF-000362,True
363,180.0,15,2025-11-28,62042,ACH,REF-000363,True
364,181.0,15,2025-12-27,231189,ACH,REF-000364,True
365,182.0,15,2025-12-05,105059,Card,REF-000365,True
366,182.0,15,2025-11-12,166350,Check,REF-000366,True
367,183.0,15,2025-10-17,250406,ACH,REF-000367,True
368,183.0,15,2025-10-29,132609,ACH,REF-000368,True
369,183.0,15,2025-10-10,409155,ACH,REF-000369,True
370,184.0,15,2025-10-24,64761,ACH,REF-000370,True
371,184.0,15,2025-10-19,150859,Check,REF-000371,True
372,185.0,15,2025-10-10,516937,Wire,REF-000372,True
373,185.0,15,2025-09-04,791889,Wire,REF-000373,True
374,186.0,15,2025-08-09,757290,Card,REF-000374,True
375,186.0,15,2025-08-25,604311,Wire,REF-000375,True
376,187.0,16,2025-10-22,227110,Card,REF-000376,True
377,187.0,16,2025-10-06,241043,Wire,REF-000377,True
378,187.0,16,2025-10-24,257393,Check,REF-000378,True
379,188.0,16,2025-10-23,370519,Check,REF-000379,True
380,189.0,16,2026-01-15,1560441,Card,REF-000380,True
381,190.0,16,2026-01-19,261901,Check,REF-000381,True
382,191.0,16,2025-11-29,353798,Check,REF-000382,True
383,191.0,16,2026-01-12,300484,Wire,REF-000383,True
384,191.0,16,2025-12-22,336296,Check,REF-000384,True
385,192.0,16,2025-09-01,2306777,Check,REF-000385,True
386,193.0,16,2025-12-31,642,Card,REF-000386,True
387,193.0,16,2025-12-08,455,Wire,REF-000387,True
388,193.0,16,2025-12-08,457,Card,REF-000388,True
389,194.0,16,2025-08-23,883082,Wire,REF-000389,True
390,195.0,16,2025-09-08,889212,Card,REF-000390,True
391,196.0,16,2025-12-31,170538,Card,REF-000391,True
392,197.0,16,2025-10-30,163802,ACH,REF-000392,True
393,197.0,16,2025-09-30,351027,Wire,REF-000393,True
394,198.0,16,2025-10-09,1477113,Card,REF-000394,True
395,199.0,16,2025-10-26,70177,Check,REF-000395,True
396,199.0,16,2025-11-03,40517,Check,REF-000396,True
397,199.0,16,2025-11-22,150983,Card,REF-000397,True
398,200.0,16,2025-09-03,1403239,Wire,REF-000398,True
399,201.0,16,2025-11-23,5532,ACH,REF-000399,True
400,201.0,16,2025-11-04,2995,Wire,REF-000400,True
401,201.0,16,2025-12-20,7899,Check,REF-000401,True
402,202.0,16,2025-11-01,74419,Card,REF-000402,True
403,202.0,16,2025-11-10,115610,Card,REF-000403,True
404,202.0,16,2025-11-01,81412,Check,REF-000404,True
405,203.0,16,2025-11-09,337240,Card,REF-000405,True
406,203.0,16,2025-10-30,120022,Check,REF-000406,True
407,203.0,16,2025-11-01,157011,Wire,REF-000407,True
408,204.0,16,2025-10-18,199284,Check,REF-000408,True
409,204.0,16,2025-11-29,454122,Check,REF-000409,True
410,205.0,17,2025-11-20,748099,Card,REF-000410,True
411,205.0,17,2025-11-29,1753465,Card,REF-000411,True
412,206.0,17,2025-11-28,986908,Card,REF-000412,True
413,207.0,17,2025-11-06,533517,Check,REF-000413,True
414,207.0,17,2025-11-07,766359,Card,REF-000414,True
415,208.0,17,2025-12-01,447853,Check,REF-000415,True
416,209.0,17,2025-08-21,86072,Check,REF-000416,True
417,209.0,17,2025-09-01,51129,Wire,REF-000417,True
418,209.0,17,2025-08-25,105588,Card,REF-000418,True
419,210.0,17,2025-10-24,478328,Check,REF-000419,True
420,210.0,17,2025-10-30,1881242,Wire,REF-000420,True
421,211.0,17,2025-10-15,132871,Card,REF-000421,True
422,211.0,17,2025-11-29,191998,ACH,REF-000422,True
423,212.0,17,2025-10-03,976064,Wire,REF-000423,True
424,212.0,17,2025-10-14,329983,Wire,REF-000424,True
425,212.0,17,2025-10-20,501552,Wire,REF-000425,True
426,213.0,17,2025-11-28,1031142,ACH,REF-000426,True
427,213.0,17,2025-11-10,890305,Check,REF-000427,True
428,214.0,17,2025-12-30,18804,Check,REF-000428,True
429,214.0,17,2025-12-27,12601,ACH,REF-000429,True
430,214.0,17,2025-11-16,42773,ACH,REF-000430,True
431,215.0,17,2025-09-19,778032,Card,REF-000431,True
432,215.0,17,2025-09-08,2330896,Check,REF-000432,True
433,216.0,17,2025-11-02,144604,Check,REF-000433,True
434,217.0,17,2025-08-29,63700,Card,REF-000434,True
435,218.0,17,2025-11-29,382256,Check,REF-000435,True
436,218.0,17,2025-10-04,264997,Card,REF-000436,True
437,219.0,17,2025-09-15,1353529,Card,REF-000437,True
438,220.0,17,2026-01-14,589123,Card,REF-000438,True
439,220.0,17,2025-12-29,1126115,ACH,REF-000439,True
440,221.0,17,2025-11-17,168844,Wire,REF-000440,True
441,221.0,17,2025-11-07,145025,Card,REF-000441,True
442,222.0,17,2025-10-22,806438,ACH,REF-000442,True
443,223.0,17,2025-12-06,1131526,Wire,REF-000443,True
444,224.0,18,2025-11-02,376103,Check,REF-000444,True
445,224.0,18,2025-12-10,79532,Wire,REF-000445,True
446,224.0,18,2025-10-23,232578,Card,REF-000446,True
447,225.0,18,2025-11-04,309022,ACH,REF-000447,True
448,226.0,18,2025-09-28,450131,ACH,REF-000448,True
449,227.0,18,2025-08-30,303573,ACH,REF-000449,True
450,228.0,18,2025-12-31,329041,Wire,REF-000450,True
451,228.0,18,2026-01-05,924236,Check,REF-000451,True
452,229.0,18,2025-10-29,46778,Wire,REF-000452,True
453,229.0,18,2025-12-13,59424,Wire,REF-000453,True
454,229.0,18,2025-11-21,47531,Check,REF-000454,True
455,230.0,18,2025-10-11,118417,Check,REF-000455,True
456,230.0,18,2025-10-27,114688,Wire,REF-000456,True
457,230.0,18,2025-10-20,170853,Card,REF-000457,True
458,231.0,18,2025-11-16,1667366,Check,REF-000458,True
459,232.0,19,2025-09-07,692349,Wire,REF-000459,True
460,232.0,19,2025-10-04,251167,Wire,REF-000460,True
461,232.0,19,2025-10-03,268796,ACH,REF-000461,True
462,233.0,19,2025-11-26,1014907,Wire,REF-000462,True
463,234.0,19,2025-08-30,73353,Wire,REF-000463,True
464,234.0,19,2025-09-18,39931,Wire,REF-000464,True
465,234.0,19,2025-10-15,130640,Wire,REF-000465,True
466,235.0,19,2025-12-26,53514,Card,REF-000466,True
467,235.0,19,2025-11-24,81689,Wire,REF-000467,True
468,235.0,19,2025-12-13,76012,Wire,REF-000468,True
469,236.0,19,2025-11-08,484687,Card,REF-000469,True
470,236.0,19,2025-11-26,693810,ACH,REF-000470,True
